product_type,brand_name,product_description,search_result_id,watersense_certified,energy_star_certified,ada_certified,product_url,image_url,product_rating,cost,currency
toilet,kohler,KOHLER Cimarron 1-piece 1.28 GPF Single Flush Elongated Toilet in White,207088750,1,0,1,https://www.homedepot.com/p/KOHLER-Cimarron-1-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-K-3619-RA-0/207088750,https://images.thdstatic.com/productImages/25f5148e-cf97-4fef-a761-8d2c95af5ef7/svn/white-kohler-one-piece-toilets-k-3619-ra-0-64_1000.jpg,4.3,748.5,USD
toilet,kohler,"KOHLER Highline Arc the Complete Solution 2-Piece 1.28 GPF Single Flush Elongated Toilet in Biscuit, Seat Included (6-Pack)",317888650,1,0,1,https://www.homedepot.com/p/KOHLER-Highline-Arc-the-Complete-Solution-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-Biscuit-Seat-Included-6-Pack-K-78279-6-96/317888650,https://images.thdstatic.com/productImages/b5e4cd10-6f13-468c-8eff-9378deb28f2d/svn/biscuit-kohler-two-piece-toilets-k-78279-6-96-64_1000.jpg,4.4,1794,USD
toilet,toto,TOTO Aquia IV Cube 2-Piece 1.28 GPF Single Flush Elongated ADA Comfort Height Toilet in Cotton White C5 Washlet Seat Included,322135032,1,0,1,https://www.homedepot.com/p/TOTO-Aquia-IV-Cube-2-Piece-1-28-GPF-Single-Flush-Elongated-ADA-Comfort-Height-Toilet-in-Cotton-White-C5-Washlet-Seat-Included-MW4363084CEMFGN-01/322135032,https://images.thdstatic.com/productImages/9cff837e-5415-4c53-b5a6-5a54a1d4c45d/svn/cotton-white-toto-two-piece-toilets-mw4363084cemfgn-01-64_1000.jpg,0,1170.12,USD
toilet,kohler,KOHLER Wellworth 14 in. Rough-In 1.28 GPF Single Flush Toilet Tank Only in White,205074541,1,0,1,https://www.homedepot.com/p/KOHLER-Wellworth-14-in-Rough-In-1-28-GPF-Single-Flush-Toilet-Tank-Only-in-White-4841-0/205074541,https://images.thdstatic.com/productImages/dc6f6ed8-4933-4628-bbe7-ca69d8936b3f/svn/white-kohler-toilet-tanks-4841-0-64_1000.jpg,4.4,213.9,USD
toilet,kohler,"KOHLER San Raphael Comfort Height 1-Piece 1.0 GPF Single Flush Elongated Toilet in Thunder Grey, Seat Included",203094766,1,0,1,https://www.homedepot.com/p/KOHLER-San-Raphael-Comfort-Height-1-Piece-1-0-GPF-Single-Flush-Elongated-Toilet-in-Thunder-Grey-Seat-Included-K-3597-58/203094766,https://images.thdstatic.com/productImages/0e37b067-e4ca-464e-a9ee-8e928b08023d/svn/thunder-grey-kohler-one-piece-toilets-k-3597-58-64_1000.jpg,3.6,1572.64,USD
toilet,kohler,KOHLER Highline Arc 2-piece 1.0 GPF elongated toilet in white (seat not included),324890564,1,0,1,https://www.homedepot.com/p/KOHLER-Highline-Arc-2-piece-1-0-GPF-elongated-toilet-in-white-seat-not-included-27985-0/324890564,https://images.thdstatic.com/productImages/252371b0-28da-417e-b51a-0584ab40fbe2/svn/white-kohler-two-piece-toilets-27985-0-64_1000.jpg,0,299,USD
toilet,kohler,"KOHLER Devonshire 2-Piece 1.28 GPF Single Flush Elongated Toilet with AquaPiston Flush Technology in Biscuit, Seat Not Included",203075743,1,0,1,https://www.homedepot.com/p/KOHLER-Devonshire-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-with-AquaPiston-Flush-Technology-in-Biscuit-Seat-Not-Included-K-3837-96/203075743,https://images.thdstatic.com/productImages/f507c5d8-be3d-4f25-8fb6-1e511c93753f/svn/biscuit-kohler-two-piece-toilets-k-3837-96-64_1000.jpg,4.1,694.31,USD
toilet,toto,TOTO Aquia IV Cube 2-Piece 0.9/1.28GPF Dual Flush Elongated Comfort Height Toilet in Cotton White S500E Washlet Seat Included,322589388,1,0,1,https://www.homedepot.com/p/TOTO-Aquia-IV-Cube-2-Piece-0-9-1-28GPF-Dual-Flush-Elongated-Comfort-Height-Toilet-in-Cotton-White-S500E-Washlet-Seat-Included-MW4363046CEMFGN-01/322589388,https://images.thdstatic.com/productImages/6678d21e-5f41-4397-9c9a-30f80a7a6e82/svn/cotton-white-toto-two-piece-toilets-mw4363046cemfgn-01-64_1000.jpg,1,1770.3,USD
toilet,kohler,KOHLER Highline Comfort Height Elongated Toilet Bowl Only in Black Black,203004196,1,0,1,https://www.homedepot.com/p/KOHLER-Highline-Comfort-Height-Elongated-Toilet-Bowl-Only-in-Black-Black-K-4199-7/203004196,https://images.thdstatic.com/productImages/2ba3c27e-c799-416a-a220-2bf523b1d95d/svn/black-black-kohler-toilet-bowls-k-4199-7-64_1000.jpg,4.4,340.95,USD
toilet,american standard,American Standard Champion Pro 1.28 GPF Single Flush Toilet Tank Only in White,204303528,1,0,1,https://www.homedepot.com/p/American-Standard-Champion-Pro-1-28-GPF-Single-Flush-Toilet-Tank-Only-in-White-4225A104-020/204303528,https://images.thdstatic.com/productImages/54777b25-e607-4b71-82cf-0d91a010a269/svn/white-american-standard-toilet-tanks-4225a104-020-64_1000.jpg,3.3,178.23,USD
